"","term","grammar_category","polarity","polarity_target","polarity_classification"
"336","alimentado","Adj",0,"N0","JALC"
"337","alinhado","Adj",1,"N0","JALC"
"338","aliviado","Adj",0,"N0","JALC"
"339","almo","Adj",1,"N0","JALC"
"340","almoada","Adj",0,"N0","MAN"
"341","almoravida","Adj",0,"N0","MAN"
"342","aloirado","Adj",0,"N0","MAN"
"343","alourado","Adj",0,"N0","MAN"
"344","alquebrado","Adj",-1,"N0","MAN"
"345","altamente","Adj",1,"N0","JALC"
"346","altaneiro","Adj",-1,"N0","MAN"
"347","alteroso","Adj",0,"N0","JALC"
"348","altivo","Adj",-1,"N0","MAN"
"349","alto","Adj",0,"N0","MAN"
"350","altruismo","N",1,"N0","MAN"
"351","altruista","Adj",1,"N0","MAN"
"352","altruistico","Adj",1,"N0","MAN"
"353","aluado","Adj",-1,"N0","MAN"
"354","alucinacao","N",-1,"N0","MAN"
"355","alucinado","Adj",-1,"N0","MAN"
"356","alucinar","V",-1,"N0","MAN"
"357","alumbrado","Adj",-1,"N0","JALC"
"358","alumiado","Adj",1,"N0","MAN"
"359","alvejado","Adj",0,"N0","JALC"
"360","alvissareiro","Adj",0,"N0","MAN"
"361","alvoracado","Adj",-1,"N0","MAN"
"362","amabilidade","N",1,"N0","MAN"
"363","amachucado","Adj",-1,"N0","JALC"
"364","amachucar","V",1,"N0:N1","MAN"
"365","amado","Adj",1,"N0","JALC"
"366","amador","Adj",0,"N0","JALC"
"367","amadorismo","N",-1,"N0","MAN"
"368","amadurecer","V",1,"N0","MAN"
"369","amadurecido","Adj",1,"N0","JALC"
"370","amaldicoado","Adj",-1,"N0","JALC"
"371","amalucado","Adj",-1,"N0","JALC"
"372","amamentado","Adj",0,"N0","JALC"
"373","amaneirado","Adj",-1,"N0","MAN"
"374","amar","V",0,"N0:N1","MAN"
"375","amarelado","Adj",-1,"N0","JALC"
"376","amarelo","Adj",-1,"N0","JALC"
"377","amargado","Adj",-1,"N0","JALC"
"378","amargo","Adj",-1,"N0","MAN"
"379","amargura","N",-1,"N0","MAN"
"380","amargurado","Adj",-1,"N0","MAN"
"381","amaricado","Adj",-1,"N0","JALC"
"382","amarrado","Adj",-1,"N0","JALC"
"383","amassado","Adj",-1,"N0","JALC"
"384","amavel","Adj",1,"N0","MAN"
"385","ambicioso","Adj",0,"N0","MAN"
"386","ambidestro","Adj",0,"N0","MAN"
"387","ambidextro","Adj",0,"N0","MAN"
"388","ambiguidade","N",-1,"N0","MAN"
"389","ambiguo","Adj",-1,"N0","MAN"
"390","ambiopia","N",-1,"N0","MAN"
"391","ambliopia","N",-1,"N0","MAN"
"392","ambrosiano","Adj",0,"N0","MAN"
"393","ameaca","N",-1,"N0","MAN"
"394","ameacador","Adj",-1,"N0","MAN"
"395","ameacante","Adj",-1,"N0","MAN"
"396","amedrontado","Adj",-1,"N0","JALC"
"397","amedrontador","Adj",-1,"N0","MAN"
"398","amedrontar","V",1,"N0:N1","MAN"
"399","ameno","Adj",1,"N0","JALC"
"400","americanista","Adj",0,"N0","MAN"
"401","americanofilo","Adj",0,"N0","MAN"
"402","americanofobo","Adj",-1,"N0","MAN"
"403","amestrado","Adj",1,"N0","JALC"
"404","amigalhaco","Adj",1,"N0","MAN"
"405","amigalhao","Adj",1,"N0","MAN"
"406","amigavel","Adj",1,"N0","MAN"
"407","amigo da onca","Adj",-1,"N0","MAN"
"408","amigo da pinga","Adj",-1,"N0","MAN"
"409","amigo dos copos","Adj",-1,"N0","MAN"
"410","amigo","Adj",1,"N0","MAN"
"411","amistoso","Adj",1,"N0","MAN"
"412","amnesia","N",-1,"N0","MAN"
"413","amnesico","Adj",-1,"N0","MAN"
"414","amolecer","V",-1,"N0","MAN"
"415","amoral","Adj",-1,"N0","MAN"
"416","amoralidade","N",-1,"N0","MAN"
"417","amoralista","Adj",-1,"N0","JALC"
"418","amoravel","Adj",1,"N0","MAN"
"419","amorfia","N",-1,"N0","MAN"
"420","amorfo","Adj",-1,"N0","MAN"
"421","amorosidade","N",1,"N0","MAN"
"422","amoroso","Adj",1,"N0","MAN"
"423","amortecido","Adj",-1,"N0","JALC"
"424","amotinado","Adj",-1,"N0","JALC"
"425","amputado","Adj",-1,"N0","JALC"
"426","amuado","Adj",-1,"N0","MAN"
"427","amuamento","N",-1,"N0","MAN"
"428","amuar","V",-1,"N0","MAN"
"429","amuo","N",-1,"N0","MAN"
"430","anacronico","Adj",-1,"N0","JALC"
"431","anacronico","Adj",-1,"N0","JALC"
"432","anafado","Adj",-1,"N0","MAN"
"433","analfabeto","Adj",-1,"N0","MAN"
"434","analisador","Adj",0,"N0","JALC"
"435","analista","Adj",0,"N0","JALC"
"436","anao","Adj",-1,"N0","MAN"
"437","anarquico","Adj",-1,"N0","JALC"
"438","anarquista","Adj",-1,"N0","MAN"
"439","anciao","Adj",0,"N0","MAN"
"440","andante","Adj",-1,"N0","JALC"
"441","andar a apanhar bones","IDIOM",-1,"N0","MAN"
"442","andar a deriva","IDIOM",-1,"N0","MAN"
"443","andar a dormir a sombra da bananeira","IDIOM",-1,"N0","MAN"
"444","andar a dormir","IDIOM",-1,"N0","MAN"
"445","andar a falar sozinho","IDIOM",-1,"N0","MAN"
"446","andar a nora","IDIOM",-1,"N0","MAN"
"447","andar a pensar na morte da bezerra","IDIOM",-1,"N0","MAN"
"448","andar a reboque de","IDIOM",-1,"N0:N1","MAN"
"449","andar a sombra da bananeira","IDIOM",-1,"N0","MAN"
"450","andar ao deus dara","IDIOM",-1,"N0","MAN"
"451","andar aos bones","IDIOM",-1,"N0","MAN"
"452","andar aos caidos","IDIOM",-1,"N0","MAN"
"453","andar aos papeis","IDIOM",-1,"N0","MAN"
"454","andar armado em carapau de corrida","IDIOM",-1,"N0","MAN"
"455","andar as aranhas","IDIOM",-1,"N0","MAN"
"456","andar as cavalitas de","IDIOM",-1,"N0:N1","MAN"
"457","andar as cegas","IDIOM",-1,"N0","MAN"
"458","andar as turras com","IDIOM",-1,"N0:N1","MAN"
"459","andar com a cabeca na lua","IDIOM",-1,"N0","MAN"
"460","andar com cara de caso","IDIOM",-1,"N0","MAN"
"461","andar com dor de corno","IDIOM",-1,"N0","MAN"
"462","andar com dor de cotovelo","IDIOM",-1,"N0","MAN"
"463","andar com macacos na cabeca","IDIOM",-1,"N0","MAN"
"464","andar com macacos no sotao","IDIOM",-1,"N0","MAN"
"465","andar com macaquinhos na cabeca","IDIOM",-1,"N0","MAN"
"466","andar com macaquinhos no sotao","IDIOM",-1,"N0","MAN"
"467","andar com o coracao nas maos","IDIOM",-1,"N0","MAN"
"468","andar com os azeites","IDIOM",-1,"N0","MAN"
"469","andar de olhos vendados","IDIOM",-1,"N0","MAN"
"470","andar de trombas","IDIOM",-1,"N0","MAN"
"471","andar em pele e osso","IDIOM",-1,"N0","MAN"
"472","andar feito barata tonta","IDIOM",-1,"N0","MAN"
"473","andar feito com","IDIOM",-1,"N0:N1","MAN"
"474","andar na boa vida","IDIOM",-1,"N0","MAN"
"475","andar na lua","IDIOM",-1,"N0","MAN"
"476","andar na ma vida","IDIOM",-1,"N0","MAN"
"477","andar nas sete quintas","IDIOM",1,"N0","MAN"
"478","andar pelos cabelos","IDIOM",-1,"N0","MAN"
"479","andarilho","Adj",0,"N0","JALC"
"480","andrajoso","Adj",-1,"N0","MAN"
"481","anedotico","Adj",-1,"N0","JALC"
"482","anemico","Adj",-1,"N0","JALC"
"483","anemico","Adj",-1,"N0","JALC"
"484","anestesiado","Adj",-1,"N0","JALC"
"485","anestesiar","V",1,"N0:N1","MAN"
"486","anexado","Adj",0,"N0","JALC"
"487","anexionista","Adj",0,"N0","MAN"
"488","angelical","Adj",1,"N0","MAN"
"489","angelico","Adj",1,"N0","MAN"
"490","angelita","Adj",0,"N0","MAN"
"491","anglicano","Adj",0,"N0","MAN"
"492","anglofilo","Adj",0,"N0","MAN"
"493","anglofobo","Adj",-1,"N0","MAN"
"494","angustiado","Adj",-1,"N0","JALC"
"495","angustiante","Adj",-1,"N0","JALC"
"496","angustiar","V",0,"N0:N1","MAN"
"497","animacao","N",1,"N0","MAN"
"498","animado","Adj",1,"N0","MAN"
"499","animador","Adj",1,"N0","MAN"
"500","animal politico","N",1,"N0","MAN"
"501","animal","Adj",-1,"N0","MAN"
"502","animar","V",1,"N0:N1","MAN"
"503","animista","Adj",0,"N0","MAN"
"504","animosidade","N",-1,"N0","MAN"
"505","animoso","Adj",1,"N0","MAN"
"506","aniquilado","Adj",-1,"N0","JALC"
"507","aniquilar","V",1,"N0:N1","MAN"
"508","anjinho","Adj",-1,"N0","MAN"
"509","anomalo","Adj",-1,"N0","JALC"
"510","anorectico","Adj",-1,"N0","MAN"
"511","anoretico","Adj",-1,"N0","MAN"
"512","anorexia nervosa","N",-1,"N0","MAN"
"513","anorexia","N",-1,"N0","MAN"
"514","anormal","Adj",-1,"N0","MAN"
"515","anormalidade","N",-1,"N0","MAN"
"516","anotia","N",-1,"N0","MAN"
"517","ansioso","Adj",-1,"N0","JALC"
"518","antepassado","Adj",0,"N0","JALC"
"519","anti-republicano","Adj",-1,"N0","MAN"
"520","antidemocrata","Adj",-1,"N0","MAN"
"521","antidesportista","Adj",-1,"N0","MAN"
"522","antidesportivismo","N",-1,"N0","MAN"
"523","antidogmatico","Adj",1,"N0","MAN"
"524","antifascista","Adj",1,"N0","MAN"
"525","antifederalista","Adj",0,"N0","MAN"
"526","antigo","Adj",0,"N0","MAN"
"527","antiliberal","Adj",-1,"N0","MAN"
"528","antiliberalista","Adj",-1,"N0","MAN"
"529","antimilitarista","Adj",0,"N0","MAN"
"530","antinatural","Adj",-1,"N0","MAN"
"531","antinazista","Adj",1,"N0","MAN"
"532","antinomico","Adj",-1,"N0","JALC"
"533","antipapista","Adj",0,"N0","MAN"
"534","antipartidario","Adj",0,"N0","MAN"
"535","antipatia","N",-1,"N0","MAN"
"536","antipatico","Adj",-1,"N0","MAN"
"537","antipatriota","Adj",-1,"N0","MAN"
"538","antipatriotismo","N",-1,"N0","MAN"
"539","antipolitico","Adj",-1,"N0","MAN"
"540","antiquado","Adj",-1,"N0","JALC"
"541","antisocial","Adj",-1,"N0","MAN"
"542","antoniano","Adj",0,"N0","MAN"
"543","antonino","Adj",0,"N0","MAN"
"544","antropofago","Adj",-1,"N0","MAN"
"545","anular","V",1,"N0:N1","MAN"
"546","apadrinhado","Adj",0,"N0","JALC"
"547","apagado","Adj",-1,"N0","MAN"
"548","apagar-se","V",-1,"N0","MAN"
"549","apagar","V",1,"N0:N1","MAN"
"550","apaixonado","Adj",0,"N0","JALC"
"551","apaixonante","Adj",1,"N0","MAN"
"552","apaixonar-se","V",0,"N0:N1","MAN"
"553","apaixonar","V",1,"N0:N1","MAN"
"554","apalavrado","Adj",0,"N0","JALC"
"555","apalermado","Adj",-1,"N0","MAN"
"556","apalhacado","Adj",-1,"N0","JALC"
"557","apancado","Adj",-1,"N0","JALC"
"558","apanhado","Adj",-1,"N0","JALC"
"559","apanhar nas orelhas","IDIOM",-1,"N0","MAN"
"560","apanhar por tabela","IDIOM",-1,"N0","MAN"
"561","apaparicar","V",-1,"N0:N1","MAN"
"562","aparolado","Adj",-1,"N0","MAN"
"563","apartado","Adj",-1,"N0","JALC"
"564","aparvalhado","Adj",-1,"N0","MAN"
"565","apatetado","Adj",-1,"N0","MAN"
"566","apatia","N",-1,"N0","MAN"
"567","apatico","Adj",-1,"N0","MAN"
"568","apatriota","Adj",-1,"N0","MAN"
"569","apavorado","Adj",-1,"N0","JALC"
"570","apavorante","Adj",-1,"N0","MAN"
"571","apavorar-se","V",-1,"N0","MAN"
"572","apavorar","V",1,"N0:N1","MAN"
"573","apaziguador","Adj",1,"N0","MAN"
"574","apaziguar","V",1,"N0:N1","MAN"
"575","apeado","Adj",-1,"N0","JALC"
"576","apedantado","Adj",-1,"N0","MAN"
"577","apedrejado","Adj",-1,"N0","JALC"
"578","apedrejar","V",-1,"N0:N1","MAN"
